Epoch 1, Train Loss: 5.045080882391223, Validation Loss: 4.188915356458473, Training Time: 107.4775071144104
Epoch 2, Train Loss: 2.4763749229799275, Validation Loss: 57.18780957938893, Training Time: 110.15816640853882
Epoch 3, Train Loss: 2.4864155116580386, Validation Loss: 5.434748246411369, Training Time: 109.1041898727417
Epoch 4, Train Loss: 1.9934317607169676, Validation Loss: 17.39207141220607, Training Time: 109.93403124809265
Epoch 5, Train Loss: 2.075695039231469, Validation Loss: 9.100855048302217, Training Time: 109.3697898387909
Epoch 6, Train Loss: 1.8725894507425442, Validation Loss: 6.959182563561197, Training Time: 108.636647939682
Epoch 7, Train Loss: 1.7869632365800954, Validation Loss: 6.497101581464718, Training Time: 109.9768762588501
Epoch 8, Train Loss: 1.5421611786361349, Validation Loss: 10.539166087914955, Training Time: 109.94992136955261
Epoch 9, Train Loss: 1.5875700998528433, Validation Loss: 1.8564361431122427, Training Time: 109.2877402305603
Epoch 10, Train Loss: 1.440048028453062, Validation Loss: 2.384467778430469, Training Time: 110.6252052783966
Epoch 11, Train Loss: 1.3721997216911093, Validation Loss: 1.558630068711913, Training Time: 109.34001922607422
Epoch 12, Train Loss: 1.327311734029171, Validation Loss: 6.154430529946565, Training Time: 109.92434740066528
Epoch 13, Train Loss: 1.3301917979622246, Validation Loss: 3.682308124947563, Training Time: 110.93327689170837
Epoch 14, Train Loss: 1.3483974896684514, Validation Loss: 1.873155228563578, Training Time: 109.32745695114136
Epoch 15, Train Loss: 1.2659846791464313, Validation Loss: 39.48461289066298, Training Time: 108.19501852989197
Epoch 16, Train Loss: 1.544044714968749, Validation Loss: 24.515723324903693, Training Time: 108.85499453544617
Epoch 17, Train Loss: 1.4403028028267513, Validation Loss: 4.845124538957359, Training Time: 110.0884153842926
Epoch 18, Train Loss: 1.297281902982402, Validation Loss: 4.50918737367481, Training Time: 111.20580053329468
Epoch 19, Train Loss: 1.1873424079898423, Validation Loss: 3.1944130309437835, Training Time: 108.5096504688263
Epoch 20, Train Loss: 1.1773971947044441, Validation Loss: 7.173751953418854, Training Time: 109.7234296798706
Epoch 21, Train Loss: 1.2735737877609141, Validation Loss: 12.818147623546482, Training Time: 110.77721834182739
Epoch 22, Train Loss: 1.206254408721835, Validation Loss: 3.662611883431767, Training Time: 107.81500244140625
Epoch 23, Train Loss: 1.0976890274804325, Validation Loss: 4.275909324825073, Training Time: 111.32733511924744
Epoch 24, Train Loss: 1.0772282754956588, Validation Loss: 7.662915814651509, Training Time: 108.63428688049316
Epoch 25, Train Loss: 1.1235777945697165, Validation Loss: 4.669200452078643, Training Time: 108.43321204185486
Epoch 26, Train Loss: 1.0539111796456324, Validation Loss: 1.557624088380798, Training Time: 108.86947703361511
Epoch 27, Train Loss: 1.0150345176245654, Validation Loss: 4.1238579584054404, Training Time: 107.5610511302948
Epoch 28, Train Loss: 1.0094675933187391, Validation Loss: 38.73252324360906, Training Time: 109.34256219863892
Epoch 29, Train Loss: 1.5852313511753064, Validation Loss: 8.455675704567854, Training Time: 109.01250052452087
Epoch 30, Train Loss: 1.2438446215735741, Validation Loss: 4.284004752036529, Training Time: 111.69422221183777
Epoch 31, Train Loss: 1.0545556871156954, Validation Loss: 14.80922941569645, Training Time: 109.91911792755127
Epoch 32, Train Loss: 1.1001418523709043, Validation Loss: 1.951816340550433, Training Time: 111.4553964138031
Epoch 33, Train Loss: 1.011958914796669, Validation Loss: 1.580448664278825, Training Time: 109.01666617393494
Epoch 34, Train Loss: 0.9746955980002455, Validation Loss: 5.034292191098002, Training Time: 110.01102948188782
Epoch 35, Train Loss: 0.9578977174141121, Validation Loss: 1.6469287589502244, Training Time: 109.84841585159302
Epoch 36, Train Loss: 0.9409963487657075, Validation Loss: 1.3848052920976675, Training Time: 111.37359070777893
Epoch 37, Train Loss: 0.9216668867041533, Validation Loss: 1.2700621193414525, Training Time: 109.421715259552
Epoch 38, Train Loss: 0.9006002325408048, Validation Loss: 8.116465285279576, Training Time: 108.50462031364441
Epoch 39, Train Loss: 1.0279631166663508, Validation Loss: 4.345442460329937, Training Time: 108.4700984954834
Epoch 40, Train Loss: 0.9381397641633921, Validation Loss: 1.9590070180984587, Training Time: 108.29125642776489
Epoch 41, Train Loss: 0.8824522085665096, Validation Loss: 11.770223533874349, Training Time: 108.4367663860321
Epoch 42, Train Loss: 1.078865995725453, Validation Loss: 3.9203063601131474, Training Time: 108.22652745246887
Epoch 43, Train Loss: 0.9406125019683335, Validation Loss: 1.25553916095185, Training Time: 108.80791282653809
Epoch 44, Train Loss: 0.8532770993919196, Validation Loss: 14.498988784929455, Training Time: 108.48966431617737
Epoch 45, Train Loss: 0.955685106699756, Validation Loss: 1.6963265468921012, Training Time: 107.99936747550964
Epoch 46, Train Loss: 0.8316473917514204, Validation Loss: 2.812560455297327, Training Time: 109.15034651756287
Epoch 47, Train Loss: 0.8779633366800461, Validation Loss: 2.769027148899825, Training Time: 107.92147493362427
Epoch 48, Train Loss: 0.8552765207050529, Validation Loss: 6.472020736939515, Training Time: 108.4486517906189
Epoch 49, Train Loss: 0.8301502053684228, Validation Loss: 2.559888218398656, Training Time: 109.63968682289124
Epoch 50, Train Loss: 0.8284425075840232, Validation Loss: 2.3390599122081976, Training Time: 110.83522248268127
