Epoch 1, Train Loss: 12.916413690786534, Validation Loss: 1.7753720564713058, Training Time: 16.66840171813965
Epoch 2, Train Loss: 1.4843153705953318, Validation Loss: 11.929134349521611, Training Time: 16.805397033691406
Epoch 3, Train Loss: 1.0605218751331438, Validation Loss: 2.050722463741798, Training Time: 16.798625230789185
Epoch 4, Train Loss: 0.896711530811887, Validation Loss: 1.0594920056533599, Training Time: 16.83257246017456
Epoch 5, Train Loss: 0.8078030090884205, Validation Loss: 0.8365195477654649, Training Time: 16.991761684417725
Epoch 6, Train Loss: 0.7347225506852458, Validation Loss: 2.035716582030798, Training Time: 16.921109437942505
Epoch 7, Train Loss: 0.7137196049878249, Validation Loss: 2.6331470986790366, Training Time: 15.9539794921875
Epoch 8, Train Loss: 0.6950656306682758, Validation Loss: 0.9193520273500317, Training Time: 17.464157819747925
Epoch 9, Train Loss: 0.6591036428611949, Validation Loss: 1.0822712089487985, Training Time: 17.055243492126465
Epoch 10, Train Loss: 0.6422427823578715, Validation Loss: 1.0838350625393354, Training Time: 16.828864336013794
Epoch 11, Train Loss: 0.6313364127649008, Validation Loss: 1.0200055521444058, Training Time: 16.879029750823975
Epoch 12, Train Loss: 0.6265971033121065, Validation Loss: 1.819832964217959, Training Time: 16.993910312652588
Epoch 13, Train Loss: 0.5939035570134577, Validation Loss: 0.695268127234741, Training Time: 17.122952461242676
Epoch 14, Train Loss: 0.5889432850188016, Validation Loss: 1.6064971301275774, Training Time: 16.91651177406311
Epoch 15, Train Loss: 0.586969563596182, Validation Loss: 1.0596529877750922, Training Time: 16.983865976333618
Epoch 16, Train Loss: 0.5676157649755985, Validation Loss: 0.9490172712985872, Training Time: 17.141136407852173
Epoch 17, Train Loss: 0.5685471864967985, Validation Loss: 1.400173831335847, Training Time: 17.023195505142212
Epoch 18, Train Loss: 0.5473533620345408, Validation Loss: 0.6947473419439174, Training Time: 17.26030993461609
Epoch 19, Train Loss: 0.5488607747988268, Validation Loss: 0.7393763709149027, Training Time: 16.971365928649902
Epoch 20, Train Loss: 0.5394025325031251, Validation Loss: 0.7312684160053865, Training Time: 16.925353288650513
Epoch 21, Train Loss: 0.5397203718030086, Validation Loss: 0.8065415878799107, Training Time: 17.033958435058594
Epoch 22, Train Loss: 0.5226296738705184, Validation Loss: 0.8952442665266936, Training Time: 16.94031524658203
Epoch 23, Train Loss: 0.5290690833855108, Validation Loss: 1.00716845472564, Training Time: 17.145716905593872
Epoch 24, Train Loss: 0.5197549000088669, Validation Loss: 0.6556612866054001, Training Time: 17.193740367889404
Epoch 25, Train Loss: 0.5125036658234434, Validation Loss: 1.179095894972842, Training Time: 17.05003023147583
Epoch 26, Train Loss: 0.5157477063222095, Validation Loss: 0.7723356220307791, Training Time: 16.899399042129517
Epoch 27, Train Loss: 0.5084730451317683, Validation Loss: 2.053160753799077, Training Time: 17.093255043029785
Epoch 28, Train Loss: 0.5042879303251322, Validation Loss: 1.8167804537454524, Training Time: 17.38954472541809
Epoch 29, Train Loss: 0.500354162066934, Validation Loss: 0.8902721755526136, Training Time: 17.132215976715088
Epoch 30, Train Loss: 0.4951897391553061, Validation Loss: 1.4057461336154162, Training Time: 16.89484739303589
Epoch 31, Train Loss: 0.4877174276313855, Validation Loss: 0.8383562945619932, Training Time: 17.2464542388916
Epoch 32, Train Loss: 0.49245169604522865, Validation Loss: 1.4271660537940385, Training Time: 16.994073390960693
Epoch 33, Train Loss: 0.485513888978904, Validation Loss: 1.7654153212198556, Training Time: 16.66020107269287
Epoch 34, Train Loss: 0.4877566455687349, Validation Loss: 0.6043450297539713, Training Time: 16.678542375564575
Epoch 35, Train Loss: 0.4747070809904184, Validation Loss: 0.621164169961389, Training Time: 17.026163578033447
Epoch 36, Train Loss: 0.47877225855059224, Validation Loss: 0.9691522732948881, Training Time: 17.107197046279907
Epoch 37, Train Loss: 0.46822358394172947, Validation Loss: 0.8739598765464722, Training Time: 16.96406102180481
Epoch 38, Train Loss: 0.4698285995062624, Validation Loss: 3.6627018244487166, Training Time: 17.056707620620728
Epoch 39, Train Loss: 0.45741331787367034, Validation Loss: 0.7961617144451184, Training Time: 17.081486701965332
Epoch 40, Train Loss: 0.4633200314387821, Validation Loss: 0.6084724985248079, Training Time: 16.977134227752686
Epoch 41, Train Loss: 0.45522728533613616, Validation Loss: 2.1277193597961497, Training Time: 17.231306552886963
Epoch 42, Train Loss: 0.4582918745932757, Validation Loss: 4.994393946085773, Training Time: 17.064698934555054
Epoch 43, Train Loss: 0.44999597451227336, Validation Loss: 0.7084874691731774, Training Time: 17.170045852661133
Epoch 44, Train Loss: 0.4504249891251169, Validation Loss: 0.8253977114406181, Training Time: 17.036521673202515
Epoch 45, Train Loss: 0.45459139398219245, Validation Loss: 0.762960742881551, Training Time: 16.94766616821289
Epoch 46, Train Loss: 0.44795288253533827, Validation Loss: 0.7265890783569344, Training Time: 17.23426342010498
Epoch 47, Train Loss: 0.4428873347054304, Validation Loss: 0.9693437033662947, Training Time: 17.245386838912964
Epoch 48, Train Loss: 0.4412649316054644, Validation Loss: 1.421639978751103, Training Time: 16.793478965759277
Epoch 49, Train Loss: 0.4437632996247113, Validation Loss: 10.570173238793021, Training Time: 16.776733875274658
Epoch 50, Train Loss: 0.4325699555402173, Validation Loss: 0.6801226321380779, Training Time: 16.889304161071777
